full_name	title	description	hyperlink	count	repeatmasker_type	repeatmasker_subtype	repbase_equiv	wicker_equiv	curcio_derbyshire_equiv	piegu_equiv
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase	Circular ssDNA Intermediate.	Circular ssDNA Intermediate			RC		DNA	D/H/H		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase;Helitron-1				3821	RC	Helitron	DNA/Helitron	D/H/H (Helitron)	Y2-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase;Helitron-2					RC	Helitron-2	DNA/Helitron	D/H/H (Helitron)	Y2-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase	DNA transposons with terminal inverted repeats ranging from 6 bp to many kb.	Autonomous elements have a DD(E/D) transposase. Most DNA transposons fall in this class. Some non-autonomous elements, hairpin		7619	DNA		DNA	D		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ	Academ superfamily of  DNA transposons.	Found in metazoans and fungi, autonomous Academ elements encode a ca 1.5 kb protein containing an XPG exonuclease domain, a Cys8 zinc finger, and a DDE transposase domain unlike those of others. Termini tend to be TAGÃCTA and a 3 bp target site is duplicated.								
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ;Academ-1	First described family of Academ DNA transposon.			206	DNA	Academ-1	DNA/Academ	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Academ
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ;Academ-2	Second described family of Academ DNA transposon.			28	DNA	Academ-2	DNA/Academ	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Academ
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ;Academ-H	Family of Academ transposons described in rust fungi.			5	DNA	Academ-H	DNA/Academ	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Academ
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA	A group of DNA transposons with characteristic CACTAâ¦TAGTG termini.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC	CACTA (EnSpm), Mirage, Chapaev group with related DNA transposons.				DNA	CMC				
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC;Chapaev_group	Superfamily including  Chapaev and Chapaev-3 elements.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC;Chapaev_group;Chapaev	So-far animal-specific elements with a specific DDE transposase.			10	DNA	CMC-Chapaev	DNA/Enspm/Cacta	D/T (TIR)/C (CACTA)	DDE-transposons	DDE-transposons/CutOPasI/CMC
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC;Chapaev_group;Chapaev-3	So-far animal-specific elements with a specific DDE transposase.			167	DNA	CMC-Chapaev-3	DNA/Enspm/Cacta	D/T (TIR)/C (CACTA)	DDE-transposons	DDE-transposons/CutOPasI/CMC
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC;EnSpm				3301	DNA	CMC-EnSpm	DNA/Enspm/Cacta	D/T (TIR)/C (CACTA)	DDE-transposons	DDE-transposons/CutOPasI/CMC
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC;Mirage				3	DNA	CMC-Mirage	DNA/Enspm/Cacta	D/T (TIR)/C (CACTA)	DDE-transposons	DDE-transposons/CutOPasI/CMC
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;Transib	Group of DNA transposons at the basis of our adaptive immune system.			16	DNA	CMC-Transib	DNA/Enspm/Cacta	D/T (TIR)/R (Transib)	DDE-transposons	DDE-transposons/CutOPasI/CMC
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Dada				83	DNA	Dada	DNA/Dada	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Dada
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Ginger				24	DNA	Ginger	DNA/Ginger1	D/T (TIR)	DDE-transposons	DDE-transposons
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Ginger;Ginger-1		Ginger-1		31	DNA	Ginger-1	DNA/Ginger1	D/T (TIR)	DDE-transposons	DDE-transposons
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Ginger;Ginger-2		Ginger-2		16	DNA	Ginger-2	DNA/Ginger2	D/T (TIR)	DDE-transposons	DDE-transposons
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;IS3EU				1397	DNA	IS3EU	DNA/IS3EU	D		DDE-transposons/CopOPasI/IS3
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Kolobok				334	DNA	Kolobok				
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Kolobok;Hydra-specific_Branch				3	DNA	Kolobok-Hydra	DNA/Kolobok	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Kolobok
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Kolobok;Kolobok-E				2	DNA	Kolobok-E	DNA/KolobokE	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Kolobok
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Kolobok;Kolobok-H				2	DNA	Kolobok-H	DNA/	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Kolobok
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Kolobok;T2				2663	DNA	Kolobok-T2	DNA/Kolobok	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Kolobok
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Merlin				994	DNA	Merlin	DNA/Merlin	D/T (TIR)/E (Merlin)	DDE-transposons	DDE-transposons/CutOPasI/IS1595-Merlin
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Mutator-like	Mutator-like Element aka MULE.	Mutator-like Element aka MULE			DNA	MULE	DNA/MuDR	D/T (TIR)/M (Mutator)	DDE-transposons	DDE-transposons/CutOPasI/IS256/MuDR/Mutator/Rehavkus
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Mutator-like;F				1	DNA	MULE-F	DNA/MuDRF	D/T (TIR)/M (Mutator)	DDE-transposons	DDE-transposons/CutOPasI/IS256/MuDR/Mutator/Rehavkus
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Mutator-like;MuDR				706	DNA	MULE-MuDR	DNA/MuDR	D/T (TIR)/M (Mutator)	DDE-transposons	DDE-transposons/CutOPasI/IS256/MuDR/Mutator/Rehavkus
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Mutator-like;NOF				62	DNA	MULE-NOF	DNA/MuDR	D/T (TIR)/M (Mutator)	DDE-transposons	DDE-transposons/CutOPasI/IS256/MuDR/Mutator/Rehavkus
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Mutator-like;Ricksha		Ricksha subclass			DNA	MULE-Ricksha	DNA/MuDR	D/T (TIR)/M (Mutator)	DDE-transposons	DDE-transposons/CutOPasI/IS256/MuDR/Mutator/Rehavkus
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Novosib				4	DNA	Novosib	DNA/Novosib	D		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PIF-Harbinger				40	DNA	PIF				
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PIF-Harbinger;HarbS					DNA	PIF-HarbS	DNA/HarbS	D/T (TIR)/H (PIF-Harbinger)	DDE-transposons	DDE-transposons/CutOPasI/IS5/PIF/Harbinger
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PIF-Harbinger;Harbinger				12968	DNA	PIF-Harbinger	DNA/Harbinger	D/T (TIR)/H (PIF-Harbinger)	DDE-transposons	DDE-transposons/CutOPasI/IS5/PIF/Harbinger
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PIF-Harbinger;ISL2EU				483	DNA	PIF-ISL2EU	DNA/ISL2EU	D/T (TIR)/H (PIF-Harbinger)	DDE-transposons	DDE-transposons/CutOPasI/IS5/PIF/Harbinger
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PIF-Harbinger;Spy				7	DNA	PIF-Spy	DNA/Harbinger	D/T (TIR)/H (PIF-Harbinger)	DDE-transposons	DDE-transposons/CutOPasI/IS5/PIF/Harbinger
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;P_Element				1454	DNA	P	DNA/P	D/T (TIR)/P 	DDE-transposons	DDE-transposons/CutOPasI/P (?)
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;P_Element;Fungi-specific_Branch				1	DNA	P-Fungi	DNA/P	D/T (TIR)/P 	DDE-transposons	DDE-transposons/CutOPasI/P (?)
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PiggyBac_Group										
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PiggyBac_Group;PiggyBac				1720	DNA	PiggyBac	DNA/piggyBac	D/T (TIR)/B (PiggyBac)	DDE-transposons	DDE-transposons/CutOPasI/ISI380/PiggyBac
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PiggyBac_Group;PiggyBac-A					DNA	PiggyBac-A	DNA/piggyBacA	D/T (TIR)/B (PiggyBac)	DDE-transposons	DDE-transposons/CutOPasI/ISI380/PiggyBac
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;PiggyBac_Group;PiggyBac-X				15	DNA	PiggyBac-X	DNA/piggyBacX	D/T (TIR)/B (PiggyBac)	DDE-transposons	DDE-transposons/CutOPasI/ISI380/PiggyBac
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Sola										
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Sola;Sola-1				205	DNA	Sola-1	DNA/Sola1	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Sola
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Sola;Sola-2				386	DNA	Sola-2	DNA/Sola2	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Sola
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Sola;Sola-3				9	DNA	Sola-3	DNA/Sola3	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Sola
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner				257	DNA	TcMar	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Ant1	A group of DNA transposons so far limited to fungi.				DNA	TcMar-Ant1	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Cweed					DNA	TcMar-Cweed	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Gizmo					DNA	TcMar-Gizmo	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;IS885		TcMar-IS885		1	DNA	TcMar-IS885	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;ISRm11				874	DNA	TcMar-ISRm11	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Mariner				648	DNA	TcMar-Mariner	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Mogwai					DNA	TcMar-Mogwai	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Sagan				3	DNA	TcMar-Sagan	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Stowaway				3	DNA	TcMar-Stowaway	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc1				12808	DNA	TcMar-Tc1	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc2-group	Containing the sister clades of Tc2, Pogo, Fot1, and Tigger DNA transposons.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc2-group;Fot1				245	DNA	TcMar-Fot1	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc2-group;Pogo				125	DNA	TcMar-Pogo	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc2-group;Tc2				1756	DNA	TcMar-Tc2	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc2-group;Tigger	So far animal-specific mariner-like elements with the mammalian Tigger1 as type specimen.			3457	DNA	TcMar-Tigger	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc4				9	DNA	TcMar-Tc4	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;m44					DNA	TcMar-m44	DNA/Mariner	D/T (TIR)/T (Tc1-Mariner)	DDE-transposons	DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Zator				140	DNA	Zator	DNA/Zator	D		DDE-transposons/CutOPasI/ITM (IS630/Tc1/Mariner)/Zator
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Zisupton				734	DNA	Zisupton	DNA/Zisupton	D		Zisupton
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT	hobo Activator Tam3 Elements.	hobo Activator Tam3 Elements		2980	DNA	hAT	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Activator	A large class in plants and animals named after the maize element.			21147	DNA	hAT-Ac	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Blackjack	A group of hAT transposons possibly closest to Charlie elements.			1975	DNA	hAT-Blackjack	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Charlie	Mostly animal-specific hAT transposons with the mammalian Charlie1 as type specimen.			12800	DNA	hAT-Charlie	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Pegasus				1	DNA	hAT-Pegasus	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Restless					DNA	hAT-Restless	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Tag1				400	DNA	hAT-Tag1	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Tip100	Widespread class of hAT elements, including the Arthur and Zaphod elements in ancient mammals.			10118	DNA	hAT-Tip100	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hAT1					DNA	hAT-hAT1	DNA/hAT1	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hAT19				283	DNA	hAT-hAT19	DNA/hAT19	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hAT5				732	DNA	hAT-hAT5	DNA/hAT5	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hAT6				344	DNA	hAT-hAT6	DNA/hATa	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hATm				21	DNA	hAT-hATm	DNA/hATm	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hATw				9	DNA	hAT-hATw	DNA/hATw	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hATx				6	DNA	hAT-hATx	DNA/hATx	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;hobo				150	DNA	hAT-hobo	DNA/hAT	D/T (TIR)/A (hAT)	DDE-transposons	DDE-transposons/CutOPasI/hAT
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase										
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton				26	DNA	Crypton	DNA/Crypton	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-A				956	DNA	Crypton-A	DNA/CryptonA	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-C				1	DNA	Crypton-C	DNA/CryptonC	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-F				1	DNA	Crypton-F	DNA/CryptonF	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-H				23	DNA	Crypton-H	DNA/CryptonH	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-I					DNA	Crypton-I	DNA/CryptonI	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-R					DNA	Crypton-R	DNA/CryptonR	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-S				8	DNA	Crypton-S	DNA/CryptonS	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-V				363	DNA	Crypton-V	DNA/CryptonV	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Tyrosine_Recombinase;Crypton;Crypton-X					DNA	Crypton-X	DNA/CryptonX	D/Y (Crypton)/C (Crypton)	Y1-transposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition	Elements that require an RNA intermediate in their transposition lifecycle.									
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE	Long Interspersed Nuclear Element.		https://en.wikipedia.org/wiki/Long_interspersed_nuclear_element	223	LINE		non-LTR/	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-I	Based on reverse transcriptase phylogeny, an outlier group containing the Ambal, CRE and Odin LINE elements.									
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-I;Ambal	A group of LINE  so far specific to Diatoms.			1	LINE	CRE-Ambal	non-LTR/Ambal	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-I;CRE				1	LINE	CRE	non-LTR/CRE	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-I;CRE;CRE-1					LINE	CRE-1	non-LTR/CRE	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-I;CRE;CRE-2					LINE	CRE-2	non-LTR/CRE	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-I;Odin				1	LINE	CRE-Odin	non-LTR/-	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II	The bulk of the LINE elements.									
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Genie					LINE	Genie	non-LTR/-	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-1	Containing the sister classes of Proto-1, L1-like, R2-like, and R4-like LINE elements.									
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-1;L1-like	Containing the sister classes of DRE, L1, Tx1, and Zorro LINE elements.									
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-1;L1-like;DRE					LINE	L1-DRE	non-LTR/	R/I (LINE)/L (L1)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-1;L1-like;L1-group	Containing the closely related L1 and Tx1 LINE elements.									
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-1;L1-like;L1-group;L1	A large group of LINE elements with mammalian LINE-1 (L1) as type specimen.			10203	LINE	L1	non-LTR/L1	R/I (LINE)/L (L1)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-1;L1-like;L1-group;Tx1				950	LINE	L1-Tx1	non-LTR/Tx1	R/I (LINE)/L (L1)	TP-retrotransposons	
